temperature,salinity,pH,dissolved_oxygen,tidal_amplitude,tidal_frequency,stocking_density,light_hours,nutrient_level
28.5,25.0,7.8,6.5,1.5,2.0,20.0,12.0,50.0
29.0,26.0,7.9,6.0,1.6,2.0,22.0,11.5,45.0
30.5,24.5,7.5,5.5,1.2,1.5,15.0,10.0,60.0
27.0,28.0,8.0,7.0,1.8,2.5,25.0,13.0,55.0
31.0,22.0,7.2,5.0,1.0,1.0,10.0,9.0,70.0
25.5,30.0,8.2,7.5,2.0,3.0,30.0,14.0,40.0
29.5,27.0,7.7,6.2,1.4,1.5,18.0,12.5,48.0
28.0,25.5,7.6,6.8,1.5,2.0,21.0,11.0,52.0
32.0,20.0,7.0,4.5,0.8,1.0,5.0,8.0,80.0
26.0,32.0,8.5,8.0,2.5,4.0,40.0,15.0,30.0
